SR_ID_Pub3,Total_Trials_Pub3,Total_Participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,SearchDate_Pub2,Total_Trials_Pub2,Total_Participants_Pub2,conclusion
27351423,13,724,28-Jun-16,30-Jun-15,28-Feb-10,8,744,0
25004278,4,747,8-Jul-14,20-Jan-14,27-Oct-08,3,747,0
24956204,6,1205,23-Jun-14,31-Aug-13,30-Sep-08,4,752,0
23235575,23,1139,12-Dec-12,31-Jan-12,31-Mar-10,16,759,1
27192949,9,2667,19-May-16,30-Sep-15,11-Jan-12,7,765,0
22895932,33,769,15-Aug-12,31-Dec-10,31-Dec-10,33,769,1
28378924,11,1371,5-Apr-17,31-Jan-16,4-Jul-12,8,784,1
21154361,5,787,8-Dec-10,28-Feb-10,30-Sep-06,5,787,0
23744597,14,788,6-Jun-13,31-Mar-13,3-Feb-09,14,788,0
26436959,14,2058,5-Oct-15,2-Feb-15,30-Nov-07,6,794,1
26121003,5,796,29-Jun-15,30-Apr-15,30-Nov-12,5,796,0
23440808,2,815,31-Jan-13,31-Oct-12,31-May-10,2,815,0
30095170,5,1292,10-Aug-18,7-May-18,31-Mar-13,5,820,0
24515630,20,1031,11-Feb-14,28-May-13,31-Oct-10,14,820,1
28933805,19,630,21-Sep-17,30-Jun-16,31-May-11,14,821,0
26377410,16,837,17-Sep-15,31-Aug-15,2-Oct-14,16,837,1
24676557,7,921,28-Mar-14,31-Oct-12,30-Nov-09,6,841,0
19160263,3,853,21-Jan-09,30-Jun-08,30-Jun-08,3,853,0
25375222,3,857,6-Nov-14,26-Jun-14,28-Mar-12,3,857,0
24574099,6,1166,27-Feb-14,18-Nov-09,30-Nov-09,4,868,0
28791693,10,1088,9-Aug-17,31-Jan-17,31-Aug-11,8,870,0
26282071,19,1064,18-Aug-15,31-Oct-14,31-Jan-08,14,878,0
23813336,8,1644,29-Jun-13,31-May-09,31-May-09,6,902,0
20614441,10,1025,26-Nov-14,30-Oct-09,31-Mar-07,9,905,1
25924805,18,1456,30-Apr-15,28-Feb-15,30-Sep-07,17,910,0
23733384,9,918,4-Jun-13,30-Apr-13,30-Apr-11,9,918,0
26075732,19,1334,15-Jun-15,3-Dec-14,31-Jan-07,12,919,0
